,task,ns_seq_ind,rep,w1
0,door-unlock-v2,20000,5,0.8086494571916357
0,door-unlock-v2,20000,6,0.8067285273575231
0,door-unlock-v2,20000,7,0.8080192537609501
0,door-unlock-v2,20000,8,0.8088731118605839
0,door-unlock-v2,20000,9,0.8082791373234653
0,door-unlock-v2,25000,0,1.0069449237354213
0,door-unlock-v2,25000,1,1.0052674020406134
0,door-unlock-v2,25000,2,1.0073958795177558
0,door-unlock-v2,25000,3,1.0073905254631192
0,door-unlock-v2,25000,4,1.00730165157499
0,door-unlock-v2,25000,5,1.0068494546586693
0,door-unlock-v2,25000,6,1.0042222571675397
0,door-unlock-v2,25000,7,1.006491365466128
0,door-unlock-v2,25000,8,1.00652944359219
0,door-unlock-v2,25000,9,1.0062031634257658
0,door-unlock-v2,30000,0,1.2144278130072292
0,door-unlock-v2,30000,1,1.213707476300584
0,door-unlock-v2,30000,2,1.2149037096336017
0,door-unlock-v2,30000,3,1.2140723716210633
0,door-unlock-v2,30000,4,1.2143341787195092
0,door-unlock-v2,30000,5,1.2159024786800476
0,door-unlock-v2,30000,6,1.2115509209895459
0,door-unlock-v2,30000,7,1.2137071600807785
0,door-unlock-v2,30000,8,1.2150436838520602
0,door-unlock-v2,30000,9,1.2123902362807462
0,door-unlock-v2,35000,0,1.4005250961145779
0,door-unlock-v2,35000,1,1.3988663618955324
0,door-unlock-v2,35000,2,1.4016529806356022
0,door-unlock-v2,35000,3,1.4024124356642031
0,door-unlock-v2,35000,4,1.4027079628966257
0,door-unlock-v2,35000,5,1.4038831661270448
0,door-unlock-v2,35000,6,1.3982110597329895
0,door-unlock-v2,35000,7,1.4010899765299707
0,door-unlock-v2,35000,8,1.4034320820719295
0,door-unlock-v2,35000,9,1.4000897513597008
0,door-unlock-v2,40000,0,1.6031414577131626
0,door-unlock-v2,40000,1,1.6039857341346702
0,door-unlock-v2,40000,2,1.6033244899464318
0,door-unlock-v2,40000,3,1.6021632234727372
0,door-unlock-v2,40000,4,1.6012069631842305
0,door-unlock-v2,40000,5,1.6044987527360428
0,door-unlock-v2,40000,6,1.5992828626072895
0,door-unlock-v2,40000,7,1.5978115448170993
0,door-unlock-v2,40000,8,1.6012440663038185
0,door-unlock-v2,40000,9,1.601612169335483
0,door-unlock-v2,45000,0,1.7948001388316974
0,door-unlock-v2,45000,1,1.7941090147609566
0,door-unlock-v2,45000,2,1.7962650826619335
0,door-unlock-v2,45000,3,1.7976356944042933
0,door-unlock-v2,45000,4,1.7932540886386719
0,door-unlock-v2,45000,5,1.7996957646441925
0,door-unlock-v2,45000,6,1.7939687294586926
0,door-unlock-v2,45000,7,1.7942153634293518
0,door-unlock-v2,45000,8,1.7978863114740844
